Time,HHMMSS,.075mm,.125mm,.175mm,.225mm,.275mm,.325mm,.375mm,.4375mm,.5125mm,.5875mm,.6625mm,.75mm,.85mm,.95mm,1.1mm,1.3mm,1.5mm,1.7mm,1.9mm
28560.16,75600,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28561.16,75601,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28562.16,75602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28563.16,75603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28564.16,75604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28565.16,75605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28566.16,75606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28567.16,75607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28568.16,75608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28569.16,75609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28570.16,75610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28571.16,75611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28572.16,75612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28573.16,75613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28574.16,75614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28575.16,75615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28576.16,75616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28577.16,75617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28578.16,75618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28579.16,75619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28580.16,75620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28581.16,75621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28582.16,75622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28583.16,75623,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28584.16,75624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28585.16,75625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28586.16,75626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28587.16,75627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28588.16,75628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28589.16,75629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28590.16,75630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28591.16,75631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28592.16,75632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28593.16,75633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
